|    name |     cenx |     ceny |      c1x |      c1y |      c2x |      c2y |      c3x |      c3y |      c4x |      c4y |   nx |   ny |    zerox |    zeroy |    xhatx |    xhaty |    yhatx |    yhaty |
| R11_S12 |   -84.75 |   -127.0 |  -105.23 |  -147.02 |   -64.27 |  -147.02 |   -64.27 |  -106.98 |  -105.23 |  -106.98 | 4096 | 4004 | -105.225 | -147.015 |  -95.225 | -147.015 | -105.225 | -137.015 |
| R11_S20 |  -169.25 |   -84.75 |  -189.73 |  -104.77 |  -148.77 |  -104.77 |  -148.77 |   -64.73 |  -189.73 |   -64.73 | 4096 | 4004 | -189.725 | -104.765 | -179.725 | -104.765 | -189.725 |  -94.765 |
| R11_S21 |   -127.0 |   -84.75 |  -147.48 |  -104.77 |  -106.52 |  -104.77 |  -106.52 |   -64.73 |  -147.48 |   -64.73 | 4096 | 4004 | -147.475 | -104.765 | -137.475 | -104.765 | -147.475 |  -94.765 |
| R11_S22 |   -84.75 |   -84.75 |  -105.23 |  -104.77 |   -64.27 |  -104.77 |   -64.27 |   -64.73 |  -105.23 |   -64.73 | 4096 | 4004 | -105.225 | -104.765 |  -95.225 | -104.765 | -105.225 |  -94.765 |
| R12_S00 |   -42.25 |  -169.25 |   -62.73 |  -189.27 |   -21.77 |  -189.27 |   -21.77 |  -149.23 |   -62.73 |  -149.23 | 4096 | 4004 |  -62.725 | -189.265 |  -52.725 | -189.265 |  -62.725 | -179.265 |
| R12_S01 |      0.0 |  -169.25 |   -20.48 |  -189.27 |    20.48 |  -189.27 |    20.48 |  -149.23 |   -20.48 |  -149.23 | 4096 | 4004 |  -20.475 | -189.265 |  -10.475 | -189.265 |  -20.475 | -179.265 |
| R12_S02 |    42.25 |  -169.25 |    21.77 |  -189.27 |    62.73 |  -189.27 |    62.73 |  -149.23 |    21.77 |  -149.23 | 4096 | 4004 |   21.775 | -189.265 |   31.775 | -189.265 |   21.775 | -179.265 |
| R12_S10 |   -42.25 |   -127.0 |   -62.73 |  -147.02 |   -21.77 |  -147.02 |   -21.77 |  -106.98 |   -62.73 |  -106.98 | 4096 | 4004 |  -62.725 | -147.015 |  -52.725 | -147.015 |  -62.725 | -137.015 |
| R12_S11 |      0.0 |   -127.0 |   -20.48 |  -147.02 |    20.48 |  -147.02 |    20.48 |  -106.98 |   -20.48 |  -106.98 | 4096 | 4004 |  -20.475 | -147.015 |  -10.475 | -147.015 |  -20.475 | -137.015 |
| R12_S12 |    42.25 |   -127.0 |    21.77 |  -147.02 |    62.73 |  -147.02 |    62.73 |  -106.98 |    21.77 |  -106.98 | 4096 | 4004 |   21.775 | -147.015 |   31.775 | -147.015 |   21.775 | -137.015 |
